reference,description,decision-date,organisation,notes,entry-date,start-date,end-date
23/01682/LBC,Change of use of existing single storey detached building from office to a 1 bedroom residential annexe and associated external alterations (Retrospective),2023-10-13,local-authority:DNC,,,,
23/01684/FUL,Erection of attached workshop / store.,2023-12-12,local-authority:DNC,,,,
23/01685/FULM,"Section 73 Application to vary Conditions 2, 6, 7, 13 and 17 (HGV movements) of Planning Permission 21/01331/FULM - Vehicle movements to be increased from 50 to up to 300 HGV daily movements. See accompanying covering letter and transport statement.",2024-01-24,local-authority:DNC,,,,
23/01686/FUL,"Erection of first floor extensions to front, side and rear of dwelling as well as loft conversion following demolition of existing garage",2023-10-27,local-authority:DNC,,,,
23/01687/FUL,"Erection of single story rear extension and provision of first floor bedrooms over existing single story garage and utility room. (Being a re-submission of application 23/01156/FUL, withdrawn on the 16/08/2023).",2023-10-19,local-authority:DNC,,,,
23/01689/FUL,Erection of a single storey pitched roof garage to the rear of the property.,2023-10-16,local-authority:DNC,,,,
23/01690/TPO,"Consent to crown clean x2 sycamore (T2, T3), crown thin T2 by approx. 10/15% and remove x5 lower branches at approx. 5m, approx. 50mm in diameter to balance crown of T3; the trees being subject to G9 of Doncaster Borough Council Tree Preservation Order (No.12) 1982 Wheatley Hills",2023-09-25,local-authority:DNC,,,,
23/01692/FUL,Formation of new vehicular access and dropped kerb to classified road C25.,2023-10-18,local-authority:DNC,,,,
23/01693/FUL,Demolition of conservatory and erection of 2 storey extension to the rear.,2023-11-09,local-authority:DNC,,,,
23/01694/FUL,Installation of 2 windows to the rear and conversion of existing garage to a residential office complete with toilet and shower.,2023-10-20,local-authority:DNC,,,,
23/01699/FUL,Erection of new single storey rear extension after demolishing existing conservatory.,2023-10-20,local-authority:DNC,,,,
23/01700/FUL,Erection of a single storey rear extension to accommodate 1 new bedroom and a downstairs bathroom.,2023-10-25,local-authority:DNC,,,,
23/01702/COU,Change of use of ground floor from vacant bar/public house (Sui Generis) to off licence (Class E),2023-12-13,local-authority:DNC,,,,
23/01706/FULM,Change of use from reformed church hall to 8  x one bedroom apartments with associated works.(AMENDED PLANS/INFO),2024-04-05,local-authority:DNC,,,,
23/01709/OUTM,"Outline application for residential development of up to 542 dwellings on approx. 20.9ha of land with associated public open space, parking, landscaping and infrastructure (approval being sought for access) without compliance with condition 18 of planning application reference 23/00138/OUTM granted on 26/04/2023.",2024-02-08,local-authority:DNC,,,,
23/01714/FUL,"Section 73 application, to vary condition 2 (approved plans) and remove condition 5 (materials) of planning application 20/01877/FUL  granted 18/09/2020.",2023-12-05,local-authority:DNC,,,,
23/01717/FUL,"Erection of 7no dwellings, associated detached garages, access and associated works (without compliance with condition 4 of planning application 21/01751/FUL granted on 17/03/2022 - Revised landscaping/planting scheme)",2023-11-16,local-authority:DNC,,,,
23/01721/FUL,Erection of a log cabin (4m x 5m) with pitched roof not exceeding 4m.,2023-10-18,local-authority:DNC,,,,
23/01722/FUL,"Erection of an attached Garage/Workshop/Store, following demolition of the existing attached Garage.",2023-10-26,local-authority:DNC,,,,
23/01725/FUL,Erection of two storey side and rear extensions.,2023-12-12,local-authority:DNC,,,,
23/01727/FUL,Conversion and alteration of existing building (Class E shop) to form 4 self-contained flats (Class C3) and 1 no. shop (Class E) with associated external alterations,2023-12-20,local-authority:DNC,,,,
23/01730/FUL,Demolition of existing detached garage and associated carport. Erection of a new attached garage and extensions/alterations to the detached dwelling house of St Michael's Close.,2023-10-24,local-authority:DNC,,,,
23/01733/REM,"Details of access, appearance and landscaping for the erection of 2 No. 2 storey dwellings (being matters reserved in outline application 20/02775/OUT granted 18/03/2021)",2023-10-16,local-authority:DNC,,,,
23/01741/FUL,"Erection of two-storey block of flats (2 No. 1-bedroom flats and 1 No. 2-bedroom flat) on garden land. With associated landscaping, new access and parking.",2023-12-12,local-authority:DNC,,,,
23/01746/FULM,Installation of a battery energy facility & association works,2024-04-30,local-authority:DNC,,,,
23/01750/TPO,"This is an application for consent to reduce back western canopy of tree by 2 meters, to achieve a clearance of at least 3 meters from house, to all heights. Reshape adjacent canopy as required to achieve balance. Crown lift eastern & southern aspect of canopy by 3 meters to improve natural lighting under this aspect of the tree. This Group (G38) forms part of TPO 74/30/TUDC/01 - Tickhill Urban District Council Tree Preservation Order (No.1) 1962 Tickhill.",2023-11-02,local-authority:DNC,,,,
23/01752/FUL,Conversion of existing barn into a dwelling,2023-10-24,local-authority:DNC,,,,
23/01757/FUL,Amended - Erection of a ground floor extension to the side.,2023-11-24,local-authority:DNC,,,,
23/01760/FUL,Amended - Erection of a 1st floor extension above a portion of the dwelling house and an additional storey above the garage with internal and external alterations to the dwelling house.,2024-04-19,local-authority:DNC,,,,
23/01766/FUL,Erection of a single storey side extension to accommodate an En-Suite Shower Room to the ground floor existing Bedroom.,2023-10-25,local-authority:DNC,,,,
23/01768/FUL,Erection of two storey extension to front of property and raising of the roof,2024-04-25,local-authority:DNC,,,,
23/01770/FUL,"Amended - Erection of a breeze block wall within the existing barn to create a Man Cave. Wooden cladding added to the exterior of the existing barn but leaving the owl box and access for the owl to enter and exit. A lean-too extension to the east and south elevations of the existing barn with a door and window also added. Erection of a children's play (Wendy) house within the rear garden and erection of a Garden Room/Summer House/Gym and Store, all of which are RETROSPECTIVELY applied for.",2024-06-17,local-authority:DNC,,,,
23/01772/FUL,"Erection of side extension, garage conversion and formation of rooms in roof space. Installation of pitched roof dormer window.",2023-10-12,local-authority:DNC,,,,
23/01777/TPO,"Application for Ash tree in S.E corner of garden. Removal of luf to allow full inspection of tree and trunk. Removal of all dead wood from crown. The tree forms part of DMBC/TPO/00162 - Doncaster Borough Council Tree Preservation Order (No.162) 1995 Field House, Hickleton Road, Barnburgh.",2023-11-06,local-authority:DNC,,,,
23/01778/ADV,Display of external parking restrictions advisory signage.,2023-10-20,local-authority:DNC,,,,
23/01780/FUL,Erection of front extension following demolition of existing front porch.  Remove the pebble dash render to all existing elevations and provide new smooth render in cream/sand coloured render.  Remove the existing white uPVC windows and replace with Aluminium windows in Grey Anthracite.,2023-10-18,local-authority:DNC,,,,
23/01781/TPO,Application for consent for T35 and T36 Lime - Crown lift to 4m over the front garden of 129a targeting small diameter secondary branches. T37 Beech standing in number 131 - Crown lift to 4m over the front garden of 129a targeting small diameter secondary branches. These trees form part of DMBC/TPO/00207 - Doncaster Borough Council Tree Preservation Order (No.207) 1999 Sprotbrough Village.,2023-11-08,local-authority:DNC,,,,
23/01785/FUL,"Erection of a two storey extension to side & single storey extension to rear, following demolition of existing attached double garage.",2023-10-25,local-authority:DNC,,,,
23/01788/FUL,Erection of a 2 storey rear extension and single storey side extension.,2023-11-06,local-authority:DNC,,,,
23/01789/FUL,Erection of single storey rear extension,2023-12-04,local-authority:DNC,,,,
23/01793/FUL,"Erection of a single storey extension to the rear to accommodate a new Kitchen/Living space, as the existing is adapted to a ground floor Bedroom.",2023-10-25,local-authority:DNC,,,,
23/01795/OUT,Outline application for the erection of a single storey detached dwelling (approval being sought for access and layout),2024-05-09,local-authority:DNC,,,,
23/01796/FUL,Removal of conservatory and erection of single storey extension to rear of existing dwelling.,2023-11-02,local-authority:DNC,,,,
23/01798/FUL,Erection of canopy structure to rear of public house building.,2023-12-06,local-authority:DNC,,,,
23/01799/FUL,"Demolition of existing garage and erection of new garage, 2 storey side and rear extension and roof lift to form rooms in roof and new render finish to house. {resubmission of 21/02862/FUL}",2023-11-24,local-authority:DNC,,,,
23/01801/FUL,6.1m x 2.6m shipping container raised on four block plinths for the purpose of tool storage for woodland management (Retrospective),2024-01-12,local-authority:DNC,,,,
23/01804/FUL,Construction of a pond as habitat for Great Crested Newts under Natural England's District Level Licensing programme,2023-11-30,local-authority:DNC,,,,
23/01805/FUL,Construction of two ponds as habitat for Great Crested Newts,2023-12-20,local-authority:DNC,,,,
23/01806/FUL,Construction of a pond as habitat for Great Crested Newts,2023-12-20,local-authority:DNC,,,,
23/01807/FULM,Erection of a 60-bed modular house block built to category C security standard,2024-05-02,local-authority:DNC,,,,
23/01809/FUL,Erection of 2.5 storey dwelling,2023-10-20,local-authority:DNC,,,,
23/01810/FUL,Installation of an air source heat pump to rear,2023-12-14,local-authority:DNC,,,,
23/01811/FUL,Erection of a flat roof single storey rear extension to the dwelling house (Retrospectively).,2023-12-04,local-authority:DNC,,,,
23/01813/FUL,"Erection of a 4 antenna Motus mast to workshop roof handrails to be part of a chain in the East of the UK, to track migrating birds",2023-11-23,local-authority:DNC,,,,
23/01819/FUL,Erection of boundary wall 1.95m.,2023-10-31,local-authority:DNC,,,,
